Cancer,Symbol,GO,,NES,p,FDR,
ACC,DNAJB11,epithelial mesenchymal transition,,2.063,0,0,
ACC,DNAJB8,epithelial mesenchymal transition,,2.0415,0,0,
ACC,DNAJC10,epithelial mesenchymal transition,,2.7556,0,0,
ACC,DNAJC13,epithelial mesenchymal transition,,2.4381,0,0,
ACC,DNAJC3,epithelial mesenchymal transition,,2.1212,0,0,
ACC,DNAJC5B,epithelial mesenchymal transition,,2.2791,0,0,
ACC,DNAJC8,epithelial mesenchymal transition,,2.2611,0,0,
ACC,HSCB,epithelial mesenchymal transition,,1.7764,0,0.0019971,
ACC,HSP90B1,epithelial mesenchymal transition,,2.5134,0,0,
ACC,HSPA12B,epithelial mesenchymal transition,,2.0466,0,0,
ACC,HSPA14,epithelial mesenchymal transition,,1.7659,0,0.00093229,
ACC,HSPA5,epithelial mesenchymal transition,,2.4576,0,0,
ACC,HSPA6,epithelial mesenchymal transition,,1.7069,0,0.00077882,
ACC,HSPA7,epithelial mesenchymal transition,,2.1417,0,0,
ACC,HSPB11,epithelial mesenchymal transition,,1.9798,0,0,
ACC,HSPB2,epithelial mesenchymal transition,,2.5575,0,0,
ACC,HSPB3,epithelial mesenchymal transition,,1.7396,0,0.0035145,
ACC,HYOU1,epithelial mesenchymal transition,,2.2034,0,0,
ACC,SACS,epithelial mesenchymal transition,,2.0857,0,0,
BLCA,CRYAB,epithelial mesenchymal transition,,3.2053,0,0,
BLCA,DNAJA1,epithelial mesenchymal transition,,1.917,0,6.46E-05,
BLCA,DNAJB11,epithelial mesenchymal transition,,1.6664,0,0.0025866,
BLCA,DNAJB12,epithelial mesenchymal transition,,2.115,0,0,
BLCA,DNAJB4,epithelial mesenchymal transition,,3.2026,0,0,
BLCA,DNAJB5,epithelial mesenchymal transition,,3.3124,0,0,
BLCA,DNAJB6,epithelial mesenchymal transition,,3.1314,0,0,
BLCA,DNAJB9,epithelial mesenchymal transition,,3.4819,0,0,
BLCA,DNAJC10,epithelial mesenchymal transition,,2.7106,0,0,
BLCA,DNAJC12,epithelial mesenchymal transition,,3.0997,0,0,
BLCA,DNAJC15,epithelial mesenchymal transition,,2.5045,0,0,
BLCA,DNAJC18,epithelial mesenchymal transition,,2.9987,0,0,
BLCA,DNAJC1,epithelial mesenchymal transition,,3.4608,0,0,
BLCA,DNAJC22,epithelial mesenchymal transition,,2.5804,0,0,
BLCA,DNAJC24,epithelial mesenchymal transition,,2.7928,0,0,
BLCA,DNAJC3,epithelial mesenchymal transition,,2.2748,0,0,
BLCA,DNAJC5B,epithelial mesenchymal transition,,2.6392,0,0,
BLCA,DNAJC6,epithelial mesenchymal transition,,2.6723,0,0,
BLCA,DNAJC8,epithelial mesenchymal transition,,2.501,0,0,
BLCA,HSP90B1,epithelial mesenchymal transition,,2.5582,0,0,
BLCA,HSPA12A,epithelial mesenchymal transition,,3.0984,0,0,
BLCA,HSPA12B,epithelial mesenchymal transition,,2.9603,0,0,
BLCA,HSPA13,epithelial mesenchymal transition,,3.2028,0,0,
BLCA,HSPA2,epithelial mesenchymal transition,,2.583,0,0,
BLCA,HSPA4L,epithelial mesenchymal transition,,1.7163,0,0.0017357,
BLCA,HSPA5,epithelial mesenchymal transition,,3.1251,0,0,
BLCA,HSPA6,epithelial mesenchymal transition,,2.8326,0,0,
BLCA,HSPA7,epithelial mesenchymal transition,,2.9802,0,0,
BLCA,HSPA8,epithelial mesenchymal transition,,2.3935,0,0,
BLCA,HSPB2,epithelial mesenchymal transition,,3.456,0,0,
BLCA,HSPB3,epithelial mesenchymal transition,,3.5188,0,0,
BLCA,HSPB6,epithelial mesenchymal transition,,3.0684,0,0,
BLCA,HSPB7,epithelial mesenchymal transition,,3.4264,0,0,
BLCA,HSPB8,epithelial mesenchymal transition,,3.0484,0,0,
BLCA,HYOU1,epithelial mesenchymal transition,,2.7789,0,0,
BLCA,ODF1,epithelial mesenchymal transition,,2.3532,0,0,
BLCA,SACS,epithelial mesenchymal transition,,3.1478,0,0,
BLCA,SEC63,epithelial mesenchymal transition,,1.9062,0,0.00021875,
BRCA,CRYAB,epithelial mesenchymal transition,,2.5319,0,0,
BRCA,DNAJB4,epithelial mesenchymal transition,,3.067,0,0,
BRCA,DNAJB5,epithelial mesenchymal transition,,3.2285,0,0,
BRCA,DNAJB9,epithelial mesenchymal transition,,1.914,0,0.0004183,
BRCA,DNAJC13,epithelial mesenchymal transition,,1.6208,0,0.00853,
BRCA,DNAJC15,epithelial mesenchymal transition,,2.6499,0,0,
BRCA,DNAJC18,epithelial mesenchymal transition,,2.8694,0,0,
BRCA,DNAJC3,epithelial mesenchymal transition,,1.8014,0,0.0013025,
BRCA,DNAJC8,epithelial mesenchymal transition,,2.2378,0,0,
BRCA,HSPA12A,epithelial mesenchymal transition,,2.8167,0,0,
BRCA,HSPA12B,epithelial mesenchymal transition,,2.8979,0,0,
BRCA,HSPA13,epithelial mesenchymal transition,,2.1562,0,0,
BRCA,HSPA7,epithelial mesenchymal transition,,1.956,0,0,
BRCA,HSPB2,epithelial mesenchymal transition,,3.0685,0,0,
BRCA,HSPB3,epithelial mesenchymal transition,,2.353,0,0,
BRCA,HSPB6,epithelial mesenchymal transition,,2.7379,0,0,
BRCA,HSPB7,epithelial mesenchymal transition,,3.0736,0,0,
BRCA,ODF1,epithelial mesenchymal transition,,2.6381,0,0,
BRCA,SACS,epithelial mesenchymal transition,,2.558,0,0,
CESC,CRYAA,epithelial mesenchymal transition,,1.9832,0,6.00E-04,
CESC,DNAJA1,epithelial mesenchymal transition,,1.7122,0,0.0015513,
CESC,DNAJA2,epithelial mesenchymal transition,,2.3211,0,0,
CESC,DNAJB4,epithelial mesenchymal transition,,1.8921,0,0.00037363,
CESC,DNAJB5,epithelial mesenchymal transition,,3.6884,0,0,
CESC,DNAJB6,epithelial mesenchymal transition,,1.5904,0,0.0091093,
CESC,DNAJB8,epithelial mesenchymal transition,,2.7025,0,0,
CESC,DNAJB9,epithelial mesenchymal transition,,2.1194,0,0,
CESC,DNAJC12,epithelial mesenchymal transition,,2.0236,0,0,
CESC,DNAJC18,epithelial mesenchymal transition,,2.8779,0,0,
CESC,DNAJC1,epithelial mesenchymal transition,,2.0655,0,0.00024324,
CESC,DNAJC22,epithelial mesenchymal transition,,1.736,0,0.003052,
CESC,DNAJC24,epithelial mesenchymal transition,,1.8528,0,0.00081829,
CESC,DNAJC25,epithelial mesenchymal transition,,2.7966,0,0,
CESC,DNAJC3,epithelial mesenchymal transition,,1.6455,0.001724,0.0062881,
CESC,DNAJC6,epithelial mesenchymal transition,,2.2637,0,0,
CESC,HSP90AB1,epithelial mesenchymal transition,,2.3847,0,0,
CESC,HSP90B1,epithelial mesenchymal transition,,2.5436,0,0,
CESC,HSPA12A,epithelial mesenchymal transition,,2.7499,0,0,
CESC,HSPA12B,epithelial mesenchymal transition,,2.3812,0,0,
CESC,HSPA13,epithelial mesenchymal transition,,2.3073,0,0,
CESC,HSPA5,epithelial mesenchymal transition,,2.8977,0,0,
CESC,HSPA7,epithelial mesenchymal transition,,1.6498,0,0.0031733,
CESC,HSPA8,epithelial mesenchymal transition,,2.2879,0,0,
CESC,HSPB2,epithelial mesenchymal transition,,2.9095,0,0,
CESC,HSPB3,epithelial mesenchymal transition,,2.5108,0,0,
CESC,HSPB6,epithelial mesenchymal transition,,2.1424,0,0,
CESC,HSPB7,epithelial mesenchymal transition,,2.76,0,0,
CESC,HSPH1,epithelial mesenchymal transition,,2.6369,0,0,
CESC,HYOU1,epithelial mesenchymal transition,,2.5554,0,0,
CESC,ODF1,epithelial mesenchymal transition,,2.0784,0,0.00088889,
CESC,SACS,epithelial mesenchymal transition,,2.9569,0,0,
CHOL,DNAJA1,epithelial mesenchymal transition,,1.9794,0,0.00036937,
CHOL,DNAJA2,epithelial mesenchymal transition,,2.1333,0,0,
CHOL,DNAJB13,epithelial mesenchymal transition,,3.0508,0,0,
CHOL,DNAJB14,epithelial mesenchymal transition,,1.7349,0,0.0080169,
CHOL,DNAJB1,epithelial mesenchymal transition,,3.0042,0,0,
CHOL,DNAJB4,epithelial mesenchymal transition,,2.184,0,0,
CHOL,DNAJB5,epithelial mesenchymal transition,,2.7285,0,0,
CHOL,DNAJC12,epithelial mesenchymal transition,,2.948,0,0,
CHOL,DNAJC13,epithelial mesenchymal transition,,1.7665,0,0.0074295,
CHOL,DNAJC14,epithelial mesenchymal transition,,2.2493,0,0,
CHOL,DNAJC18,epithelial mesenchymal transition,,2.6099,0,0,
CHOL,DNAJC1,epithelial mesenchymal transition,,2.381,0,0,
CHOL,DNAJC21,epithelial mesenchymal transition,,2.0281,0,0.00024138,
CHOL,DNAJC25,epithelial mesenchymal transition,,1.9967,0,0.00058333,
CHOL,DNAJC3,epithelial mesenchymal transition,,2.8281,0,0,
CHOL,DNAJC5B,epithelial mesenchymal transition,,2.0431,0,0,
CHOL,HSP90AA1,epithelial mesenchymal transition,,2.0023,0,0,
CHOL,HSP90B1,epithelial mesenchymal transition,,2.2132,0,0,
CHOL,HSPA12A,epithelial mesenchymal transition,,2.3259,0,0,
CHOL,HSPA13,epithelial mesenchymal transition,,3.3165,0,0,
CHOL,HSPA14,epithelial mesenchymal transition,,2.5097,0,0,
CHOL,HSPA1B,epithelial mesenchymal transition,,2.371,0,0,
CHOL,HSPA1L,epithelial mesenchymal transition,,1.7748,0,0.0066733,
CHOL,HSPA2,epithelial mesenchymal transition,,2.1949,0,0,
CHOL,HSPA4,epithelial mesenchymal transition,,2.2994,0,0,
CHOL,HSPA6,epithelial mesenchymal transition,,2.2348,0,0,
CHOL,HSPA7,epithelial mesenchymal transition,,2.3575,0,0,
CHOL,HSPB1,epithelial mesenchymal transition,,2.4322,0,0,
CHOL,HSPB2,epithelial mesenchymal transition,,2.3159,0,0,
CHOL,HSPB3,epithelial mesenchymal transition,,2.2794,0,0,
CHOL,HSPB7,epithelial mesenchymal transition,,2.6186,0,0,
CHOL,HSPH1,epithelial mesenchymal transition,,2.3693,0,0,
CHOL,HYOU1,epithelial mesenchymal transition,,3.0371,0,0,
CHOL,SEC63,epithelial mesenchymal transition,,2.2011,0,0,
COAD,DNAJB14,epithelial mesenchymal transition,,1.8639,0,0.00052164,
COAD,DNAJB6,epithelial mesenchymal transition,,2.6104,0,0,
COAD,DNAJB9,epithelial mesenchymal transition,,2.9898,0,0,
COAD,DNAJC12,epithelial mesenchymal transition,,2.5883,0,0,
COAD,DNAJC13,epithelial mesenchymal transition,,2.6044,0,0,
COAD,DNAJC18,epithelial mesenchymal transition,,2.7835,0,0,
COAD,DNAJC24,epithelial mesenchymal transition,,1.9701,0,0.0003125,
COAD,DNAJC3,epithelial mesenchymal transition,,1.8601,0,0.0010334,
COAD,HSP90B1,epithelial mesenchymal transition,,2.3744,0,0,
