Tissue,Cancer type,HSP,HSP,GTEX,TCGA
Adrenal Gland,ACC,CRYAB,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJA1,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJA1,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJA2,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJA2,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJA2,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJA3,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJA3,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJA3,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJA3,DNAJA2,Sig,Sig
Adrenal Gland,ACC,DNAJA4,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJA4,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJA4,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJA4,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJA4,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB1,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB1,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB1,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB1,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB1,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB1,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB11,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB11,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB11,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB11,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJB11,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB11,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB11,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB12,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB12,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB12,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJB12,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJB12,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB12,DNAJA4,NS,NS
