lineage,CRYAA,CRYAB,DNAJA1,DNAJA2,DNAJA3,DNAJA4,DNAJB1,DNAJB11,DNAJB12,DNAJB13,DNAJB14,DNAJB2,DNAJB4,DNAJB5,DNAJB6,DNAJB7,DNAJB8,DNAJB9,DNAJC1,DNAJC10,DNAJC11,DNAJC12,DNAJC13,DNAJC14,DNAJC15,DNAJC16,DNAJC17,DNAJC18,DNAJC19,DNAJC2,DNAJC21,DNAJC22,DNAJC24,DNAJC25,DNAJC27,DNAJC28,DNAJC3,DNAJC30,DNAJC4,DNAJC5,DNAJC5B,DNAJC6,DNAJC7,DNAJC8,DNAJC9,GAK,HSCB,HSP90AA1,HSP90AB1,HSP90B1,HSPA12A,HSPA12B,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA8,HSPA9,HSPB1,HSPB11,HSPB2,HSPB3,HSPB6,HSPB7,HSPB8,HSPB9,HSPD1,HSPE1,HSPH1,HYOU1,ODF1,SACS,SEC63,TRAP1
Colon/Colorectal Cancer,0.083571129,0.031074421,-0.493605858,-0.16625505,-0.731013588,0.192971937,-0.205327079,-0.333100619,-0.230638514,0.007447138,0.165028245,0.12358735,0.100606876,0.059224023,-0.415524992,-0.041041437,-0.007121573,-0.040560471,0.008328627,0.056052856,-1.0137522,0.26271942,-0.198539101,0.033178784,0.0813385,-0.095223781,-1.317291415,0.059609729,-0.035034883,-0.105789665,-0.166210124,-0.264483893,-0.216083334,-0.034997649,0.083490938,0.146847119,0.236477172,-0.113065156,0.182218404,-0.299291299,-0.114274408,-0.002805982,-0.260678343,-0.653151249,-0.890029694,-0.314074209,-0.43230239,-0.008325827,-0.075377827,-0.673034589,0.099458715,0.112011956,-0.104400225,-0.950922417,-0.116249593,-0.27408819,0.092784427,0.322399275,0.182602337,0.048181811,-0.871626301,-0.1068324,-0.309741925,-1.115847702,0.338361409,0.10785773,-0.289845579,0.120441667,0.135120712,-0.276514932,0.025814754,-0.325079291,-0.978640774,-1.636885154,-0.188227887,-0.919314804,-0.008657869,-0.18066695,-0.5468237,-0.045793899
Colon/Colorectal Cancer,0.141831717,-0.068244796,-0.639363827,0.111333907,-0.497057565,-0.03133324,-0.155554462,-0.6263202,-0.386327253,-0.115906535,0.002278375,0.053609099,-0.019487765,-0.157132421,-0.36775067,0.063043709,-0.059340774,0.057556766,-0.008529778,-0.048607042,-0.650492205,-0.036990619,-0.284144571,-0.070831977,0.103772864,-0.244132007,-1.256169888,0.001670709,-0.240354647,-0.02281548,-0.249814937,-0.158596525,-0.108868698,-0.011247115,0.146206352,0.049993205,-0.112868619,-0.14595438,0.212356827,-0.112581625,0.026983946,-0.059908351,-0.062144743,-0.470222701,-0.852505675,-0.429773873,-0.633178182,-0.095511236,-0.141688213,-0.672861345,0.132719021,0.14138279,-0.145936934,-0.215318111,-0.113838234,-0.211521233,-0.073748751,0.223024533,-0.262521821,0.007227021,-1.033308843,-0.171911352,-0.100441276,-1.143015739,0.320003568,-0.16897845,-0.087290044,0.190034097,0.01423305,-0.186170511,0.007713258,-0.288886921,-0.939719204,-1.671529983,-0.141801478,-1.027819478,-0.061375019,-0.001345231,-0.687070814,-0.037488811
Bladder Cancer,-0.050013455,0.147202582,-0.34854059,0.080265401,-0.53176054,-0.007352718,-0.242035397,-0.290431287,-0.253174935,-0.107433314,0.279654653,0.187007465,0.058513359,0.184663312,-0.437217811,-0.010205593,-0.161098924,0.175341701,0.150487336,0.123161813,-0.662507598,0.136177087,-0.219864197,0.127893769,0.117144085,0.015834152,-1.242199788,0.138093685,-0.539038149,-0.363376929,-0.125742596,-0.207233259,-0.211408919,-0.072805199,0.27354952,0.104842754,0.102886575,-0.285684672,0.123178807,0.042996962,-0.012484163,-0.033268254,0.101809247,-0.690683241,-1.026678735,-0.937136532,-0.899664597,-0.101594854,0.102070271,-0.586852727,0.162710845,-0.001243313,0.283012592,-1.017013131,-0.388137386,-0.123518045,-0.301318929,0.189863986,0.074019715,0.131846691,-0.842360698,0.12504819,-0.50548608,-1.240179094,0.211802957,0.181716279,-0.151913088,0.095667238,0.030958981,-0.122955642,0.011452348,-0.110675481,-1.105211196,-1.367928675,0.172251282,-0.98453632,-0.109881011,-0.073259928,-0.891837362,-0.028595052
Lung Cancer,-0.026908518,0.008846079,-0.214939621,-0.216677523,-0.86820584,0.082481837,-0.115333178,-0.109690102,-0.488693375,-0.140188086,0.109456878,0.046106533,-0.008423696,0.18766871,-0.527900802,-0.190773374,0.030080052,-0.026815625,0.027751309,-0.034493361,-1.0683321,0.009156752,-0.03257018,0.092921442,0.102045355,-0.15873034,-1.241374517,0.01655504,-0.697717574,-0.447632342,-0.420569903,-0.047056911,-0.173714575,-0.029807181,0.163900791,-0.039961349,0.071943318,-0.286926703,-0.022673924,0.085449945,-0.31660141,0.085895779,-0.130845075,-0.496164571,-1.287944074,-0.575062268,-0.825901351,-0.232333062,-0.383792476,-0.211082016,0.143143441,0.096378738,-0.434332223,-0.674866864,-0.384268517,-0.305008943,-0.030799601,0.221466601,-0.152978406,0.021363584,-0.876868999,-0.03158354,-0.069116746,-1.192574397,0.221326967,0.017745065,-0.057540373,0.135395897,-0.095460898,-0.129495588,0.074365225,-0.53471881,-0.912189651,-1.349901725,-0.005739309,-1.081056369,-0.394160027,-0.071170912,-0.55011905,-0.191550295
Ovarian Cancer,0.057510212,0.058635142,-0.386075986,0.004458324,-0.880844199,0.043787822,-0.218503437,-0.187400389,-0.204859153,-0.077503281,0.122449531,0.082678494,0.090713524,0.064751021,-0.516919278,-0.122338708,-0.080716573,0.060229591,-0.005020525,-0.100680606,-0.563645224,-0.039318436,-0.026565782,0.009576225,0.088897993,-0.15460384,-1.333952014,0.068843288,-0.596078075,-0.078328899,0.057179071,-0.108728423,-0.088189565,0.032775222,0.0926578,0.066586598,-0.070112671,-0.245257127,-0.012993947,-0.044216605,-0.068212612,-0.091412662,-0.075850106,-0.768875221,-0.768006606,-0.253638782,-0.451430885,-0.084318944,-0.239337973,-0.379874189,0.147743149,-0.021991117,-0.053071078,-0.378031599,-0.163170255,-0.264553708,-0.135728378,0.138242301,0.018902044,0.093492487,-1.008587654,-0.055529941,-0.180592096,-1.228982339,0.109077222,-0.137033372,0.068802999,0.048717391,-0.142235707,-0.230729538,0.058668329,-0.256706669,-0.961616269,-2.060721823,0.011403735,-1.452626556,-0.10977398,0.011316561,-0.553630499,-0.20511428
Lung Cancer,0.051807729,0.072424326,-0.46356754,-0.037253928,-0.896279544,0.179709956,-0.296676792,-0.179977243,-0.111780167,-0.03363398,0.168350125,0.131670089,0.023030683,-0.015445627,-0.186693232,-0.079241343,-0.139513267,0.00538553,-0.003240751,-0.002259938,-0.778507939,0.041028032,-0.506594893,-0.111554859,0.005120466,-0.108762962,-1.391784344,-0.064804134,-0.180581716,-0.027064716,-0.037328306,-0.092213248,0.039969057,-0.043160777,0.359139735,0.047781792,0.189424071,-0.107015558,0.077054105,0.101207999,-0.151710014,0.048546245,-0.092993757,-0.603171958,-0.698481102,-0.626307733,-0.713691775,0.05810423,-0.191413948,-0.382551656,0.068881243,0.176135092,-0.193404408,-0.597800874,-0.233973163,-0.142470012,-0.049003191,0.17104403,-0.067465679,0.066178453,-0.872436588,-0.134147821,0.117723571,-1.303060778,0.086822754,-0.046805871,-0.178688214,0.121799247,-0.025292585,-0.213879806,-0.061238574,-0.218368838,-0.971250116,-1.587021376,0.011212244,-1.151105296,-0.149344771,-0.061307464,-0.613720498,-0.201750866
Breast Cancer,-0.013313838,0.092445263,-0.766100266,-0.43653826,-0.4941458,-0.008397559,-0.341675436,-0.260631039,-0.347496833,0.018586218,0.094003643,-0.015122372,-0.06004876,-0.062657521,-0.365778255,0.064000645,-0.076374896,-0.213915679,0.058499433,-0.085174981,-0.224305984,0.133012175,-0.647970697,-0.066037535,0.11521828,-0.062703731,-1.148978656,0.016065688,-0.184721962,-0.028358082,0.146430463,-0.062889518,0.120048094,0.156477535,0.084446314,0.137800161,0.001258244,-0.098545726,0.100609266,-0.001196963,-0.138342986,-0.105454264,-0.401093251,-0.749710983,-0.497647887,-0.189160195,-0.462741237,-0.228894381,-0.468618189,-0.354529628,0.151767904,0.1095247,-0.057529443,-0.288812807,-0.230525642,-0.154002979,-0.097162692,0.083289923,-0.253903036,-0.026829633,-1.034981648,-0.021459501,-0.259109358,-1.153163994,0.084182685,0.070715498,0.022805074,0.103529995,-0.039237651,-0.057751473,0.142060984,-0.247134468,-0.877143115,-1.947121678,-0.257134195,-0.872643742,-0.247767826,0.133745467,-0.556955755,-0.020504326
Bladder Cancer,0.113226315,0.113445762,-0.134130809,0.35875207,-0.686791032,0.20058745,-0.23487164,-0.261442387,-0.310784827,-0.203419059,0.226725894,-0.122325794,0.092670325,0.12952356,-0.53455757,-0.036584658,0.023594656,0.071091286,0.021804942,-0.141435038,-0.5824712,-0.000480939,-0.328558236,-0.024550566,-0.025662106,-0.246871539,-1.16340573,0.247799365,-0.152156071,-0.280379927,-0.344131081,-0.029991787,0.171754685,0.104304536,0.24939533,0.116495787,-0.048033645,-0.14410421,-0.052583493,-0.044095481,-0.114005778,0.130823214,-0.090692482,-0.699950311,-1.029052327,-0.49954592,-0.800193676,-0.149790012,-0.184703348,-0.919984008,0.198642977,-0.046944404,-0.259040161,-0.886167947,-0.167326713,-0.282912526,-0.172375022,0.07442729,0.099775769,0.238493473,-0.844565047,-0.353382287,-0.234115498,-1.133310396,-0.037209563,-0.045907398,-0.237127293,-0.001103897,-0.17840053,-0.140061157,0.097593654,-0.244523566,-1.202805925,-1.374707229,-0.033821688,-0.930899217,-0.478168076,0.023384783,-0.876402144,0.024610572
Lung Cancer,0.12977116,0.075785548,-0.432715271,-0.17727155,-0.43318855,0.089539297,-0.194354013,-0.028444351,-0.244617027,-0.229693524,0.164458104,0.092348246,-0.098075098,-0.126952885,-0.343427846,0.000925834,-0.153902094,-0.178762231,0.037652314,0.080413728,-0.329865737,-0.031588969,-0.170479709,0.025996703,0.075757502,-0.081056833,-1.196371085,0.095044503,-0.202511451,-0.095829471,0.170741367,-0.255075401,0.048579225,0.174449776,0.158528277,0.148832589,0.109608932,-0.210894061,0.074273077,0.12813077,-0.191846665,-0.236570795,-0.14196009,-0.450000638,-0.489940225,-0.553356978,-0.572870744,-0.115304813,-0.232930649,-0.415850797,0.161185404,0.136694713,0.028089606,-0.369579777,-0.106208615,-0.120092043,-0.119815521,0.244631003,-0.02435152,0.008679156,-1.067892236,0.080894933,0.127541185,-1.159938108,0.119488724,0.003938675,0.066128076,0.159840409,0.092585949,-0.227895118,0.011338273,-0.012583552,-0.720260089,-1.515723239,0.044140684,-0.662475985,-0.127448762,0.026910333,-0.618448609,-0.024504164
Pancreatic Cancer,0.040979168,0.029066887,-0.345424519,-0.070356054,-0.581780141,0.143717145,-0.309722351,-0.386508503,-0.278134349,-0.072424186,0.092679965,-0.06659383,0.030982322,-0.033180658,-0.345293704,-0.01962011,0.022005933,0.087248627,-0.000688589,0.043893417,-0.782694026,0.084677447,-0.310932788,-0.090635939,0.123289795,-0.14476865,-1.193403396,-0.014528602,0.015269026,-0.056262663,-0.046479565,-0.130874351,-0.067751356,0.106342904,0.105618475,-0.021044575,0.061366213,-0.271772969,0.120181326,-0.064903801,-0.077871266,0.055587865,-0.062956348,-0.571437235,-1.480460504,-0.434145262,-0.581580774,-0.164461527,-0.21366838,-0.939028358,0.165463308,0.040077636,-0.12829688,-0.277240384,-0.085625242,-0.171290096,0.001304922,0.092100604,-0.09063693,0.066054192,-1.017400301,-0.005914447,-0.470113506,-1.208314587,0.181096698,0.026556021,-0.066658148,0.0188475,-0.123254305,-0.112386959,0.085327535,-0.142773024,-0.844506044,-1.67347465,0.019196468,-1.206321738,-0.006981644,0.027610338,-0.548390246,0.059172184
