"Cancer","hsp","genome","Rs","p","fdr"
"ACC","HSPA14","MKI67",0.54649464459591,3.08904561864076e-07,9.19286614399903e-05
"ACC","HSPB7","MKI67",-0.401557935735151,0.000274223533377945,0.00967959771130177
"ACC","HSPB8","MKI67",-0.415676728334956,0.000159203055080132,0.00672849015770264
"ACC","DNAJC14","MKI67",-0.338997078870497,0.00235978651523068,0.0389836079260808
"ACC","DNAJC15","MKI67",-0.341845180136319,0.0021580351556274,0.0368315792820417
"ACC","DNAJC19","MKI67",-0.36755111976631,0.000928955128428189,0.0214467391948775
"ACC","DNAJC28","MKI67",-0.376363193768257,0.000685178932454041,0.017604998961987
"ACC","DNAJC2","MKI67",0.354406037000974,0.00144134041854994,0.02848752289652
"ACC","DNAJC30","MKI67",-0.443743914313535,5.04147521015539e-05,0.0030864009321226
"ACC","DNAJC9","MKI67",0.59817429406037,1.10169968847718e-08,8.47480548307664e-06
"ACC","SACS","MKI67",0.336392405063291,0.00255900763410342,0.0410221907387553
"BLCA","HSP90B1","MKI67",0.338684473934152,8.69273316051571e-13,1e-10
"BLCA","HSPA13","MKI67",0.339851272488616,7.17496869410871e-13,1e-10
"BLCA","HSPA14","MKI67",0.378939332332281,3.38275669979956e-16,1e-10
"BLCA","HSPA1L","MKI67",-0.278987853889077,5.23252794398338e-09,5.95437320994258e-08
"BLCA","HSPA4L","MKI67",0.288192769301576,1.55221069161035e-09,1.9520532220494e-08
"BLCA","HSPA5","MKI67",0.353070159889936,7.51118043398608e-14,1e-10
"BLCA","HSPA8","MKI67",0.305152348131997,1.47449828544779e-10,2.23601299520456e-09
"BLCA","HSPB1","MKI67",-0.253560585205734,1.20539003970906e-07,1.04423515879534e-06
"BLCA","HSPB2","MKI67",-0.202171748206866,2.56539817075363e-05,0.000133012317330426
"BLCA","HSPB6","MKI67",-0.209239349071293,1.36371539416121e-05,7.54222047111758e-05
"BLCA","HSPB8","MKI67",-0.258049754016669,7.0892704100525e-08,6.44739815579702e-07
"BLCA","HSPD1","MKI67",0.35877236762077,2.67416639810173e-14,1e-10
"BLCA","HSPH1","MKI67",0.208271538222748,1.49680470018018e-05,8.19803116667533e-05
"BLCA","HYOU1","MKI67",0.300076234949146,3.03075674990088e-10,4.34271015826871e-09
"BLCA","DNAJB2","MKI67",-0.375689405314991,8.01958881883329e-16,1e-10
"BLCA","DNAJB3","MKI67",-0.241033384293123,4.64038216460221e-07,3.5581801384499e-06
"BLCA","DNAJB11","MKI67",0.373694133546491,1.29196776682551e-15,1e-10
"BLCA","DNAJB13","MKI67",-0.267572253680091,1.9586396234247e-08,1.99198251121621e-07
"BLCA","DNAJA1","MKI67",0.253932974282034,1.15389382584808e-07,1.003510169913e-06
"BLCA","DNAJA4","MKI67",-0.332914292866129,2.21238297568407e-12,1e-10
"BLCA","DNAJC11","MKI67",0.293132627540947,7.94231655367835e-10,1.05422576295885e-08
"BLCA","DNAJC17","MKI67",-0.32928565725593,3.93411524261511e-12,1e-10
"BLCA","DNAJC21","MKI67",0.225059719431959,2.80106811614658e-06,1.80939917124944e-05
